0, Herz, Bube
29384, Kreuz, König
29385, Herz, 8
29386, Kreuz, 8
29387, Karo, Dame
29388, Kreuz, Bube
29389, Pik, 3
29390, Pik, 9
29391, Pik, 4
29392, Kreuz, 2
29393, Herz, König
29394, Karo, 2
29395, Herz, 7
29396, Herz, As
29397, Herz, 10
29398, Karo, 4
29399, Pik, 6
29400, Pik, 2
29401, Pik, 6
29402, Herz, Dame
29403, Pik, 3
29404, Karo, 7
29405, Karo, König
29406, Pik, 2
29407, Herz, 5
29408, Kreuz, 3
29409, Herz, 2
29410, Karo, As
29411, Herz, Dame
29412, Herz, 3
29413, Karo, 5
29414, Karo, 8
29415, Karo, 10
29416, Pik, 3
29417, Karo, 9
29418, Pik, 3
29419, Pik, 5
29420, Pik, Bube
29421, Kreuz, Dame
29422, Pik, 4
29423, Herz, 2
29424, Kreuz, As
29425, Kreuz, Bube
29426, Kreuz, 3
29427, Pik, 6
29428, Herz, König
29429, Karo, As
29430, Karo, 3
29431, Herz, 10
29432, Pik, 3
29433, Herz, 2
29434, Kreuz, Dame
29435, Kreuz, König
29436, Karo, As
29437, Kreuz, 7
29438, Karo, König
29439, Herz, Dame
29440, Kreuz, 2
29441, Pik, As
29442, Pik, 2
29443, Herz, 4
29444, Karo, Dame
29445, Kreuz, 2
29446, Kreuz, König
29447, Karo, Bube
29448, Kreuz, 5
29449, Pik, Dame
29450, Kreuz, 8
29451, Pik, 6
29452, Kreuz, Dame
29453, Karo, Dame
29454, Pik, 6
29455, Herz, Bube
29456, Karo, Bube
29457, Pik, 9
29458, Pik, Bube
29459, Pik, 7
29460, Pik, 7
29461, Kreuz, 10
29462, Herz, 6
29463, Herz, 4
29464, Karo, König
29465, Karo, 5
29466, Kreuz, 7
29467, Herz, 8
29468, Kreuz, 10
29469, Pik, 8
29470, Kreuz, 6
29471, Kreuz, 5
29472, Kreuz, Bube
29473, Kreuz, 3
29474, Karo, 2
29475, Pik, 10
29476, Pik, 7
29477, Kreuz, Dame
29478, Kreuz, 9
29479, Pik, Dame
29480, Karo, 8
29481, Herz, 5
29482, Kreuz, 8
29483, Kreuz, As
29484, Karo, 9
29485, Karo, 9
29486, Karo, 4
29487, Herz, 10
29488, Herz, 3
29489, Kreuz, 4
29490, Pik, 2
29491, Pik, 10
29492, Pik, 4
29493, Pik, 6
29494, Herz, 10
29495, Pik, 5
29496, Pik, 8
29497, Karo, Dame
29498, Herz, 7
29499, Kreuz, 6
29500, Karo, König
29501, Kreuz, Bube
29502, Herz, 4
29503, Kreuz, 8
29504, Karo, 10
29505, Karo, 3
29506, Pik, 9
29507, Karo, 9
29508, Pik, 4
29509, Kreuz, 8
29510, Herz, 10
29511, Pik, König
29512, Pik, 2
29513, Pik, 8
29514, Pik, 10
29515, Karo, As
29516, Karo, 10
29517, Pik, 3
29518, Karo, As
29519, Karo, König
29520, Herz, 9
29521, Pik, König
29522, Kreuz, 9
29523, Karo, Bube
29524, Herz, 2
29525, Herz, 10
29526, Pik, 5
29527, Pik, König
29528, Herz, 8
29529, Karo, Bube
29530, Herz, 6
29531, Pik, Dame
29532, Karo, 3
29533, Herz, Dame
29534, Herz, König
29535, Pik, 8
29536, Kreuz, Bube
29537, Karo, 3
29538, Pik, Dame
29539, Karo, Dame
29540, Pik, 5
29541, Karo, 3
29542, Kreuz, 10
29543, Kreuz, Dame
29544, Herz, 7
29545, Karo, Bube
29546, Karo, As
29547, Pik, Bube
29548, Pik, 6
29549, Pik, 5
29550, Pik, Bube
29551, Kreuz, As
29552, Kreuz, 9
29553, Kreuz, 8
29554, Pik, 10
29555, Kreuz, 4
29556, Kreuz, As
29557, Kreuz, 7
29558, Kreuz, As
29559, Pik, 9
29560, Herz, 7
29561, Pik, 8
29562, Pik, 6
29563, Kreuz, 8
29564, Pik, 7
29565, Karo, 6
29566, Karo, 6
29567, Kreuz, Bube
29568, Karo, 7
29569, Pik, 6
29570, Karo, 10
29571, Kreuz, 3
29572, Pik, 6
29573, Karo, 8
29574, Pik, 10
29575, Kreuz, 5
29576, Pik, 4
29577, Karo, As
29578, Karo, 4
29579, Herz, König
29580, Herz, 5
29581, Pik, Bube
29582, Karo, König
29583, Karo, 2
29584, Karo, König
29585, Kreuz, Bube
29586, Pik, 7
29587, Herz, König
29588, Pik, 7
29589, Kreuz, König
29590, Kreuz, 6
29591, Karo, As
29592, Kreuz, 9
29593, Karo, 5
29594, Karo, 7
29595, Karo, 4
29596, Kreuz, 9
29597, Karo, 5
29598, Kreuz, 7
29599, Kreuz, 2
29600, Pik, Dame
29601, Karo, 2
29602, Herz, As
29603, Pik, 6
29604, Kreuz, 5
29605, Pik, König
29606, Pik, Bube
29607, Pik, 6
29608, Pik, Bube
29609, Herz, 4
29610, Kreuz, 4
29611, Karo, König
29612, Herz, 4
29613, Pik, 7
29614, Herz, 4
29615, Kreuz, 3
29616, Pik, 5
29617, Karo, 2
29618, Karo, As
29619, Herz, König
29620, Kreuz, 6
29621, Herz, 9
29622, Karo, König
29623, Karo, 6
29624, Pik, 6
29625, Kreuz, 5
29626, Kreuz, Bube
29627, Karo, 5
29628, Herz, 4
29629, Karo, As
29630, Karo, Bube
29631, Herz, As
29632, Kreuz, Dame
29633, Pik, Dame
29634, Pik, Bube
29635, Herz, 4
29636, Karo, 2
29637, Pik, 7
29638, Karo, Dame
29639, Kreuz, 6
29640, Pik, Dame
29641, Herz, Bube
29642, Herz, König
29643, Karo, König
29644, Kreuz, 4
29645, Kreuz, 5
29646, Herz, König
29647, Kreuz, 5
29648, Pik, 2
29649, Karo, 4
29650, Herz, 10
29651, Karo, 10
29652, Karo, 7
29653, Karo, König
29654, Herz, 3
29655, Pik, 6
29656, Herz, 4
29657, Kreuz, 6
29658, Kreuz, 9
29659, Karo, Bube
29660, Karo, Dame
29661, Pik, 6
29662, Karo, 5
29663, Karo, König
29664, Herz, 7
29665, Pik, 7
29666, Pik, 2
29667, Kreuz, König
29668, Karo, 10
29669, Kreuz, 5
29670, Pik, As
29671, Herz, 4
29672, Karo, 2
29673, Pik, As
29674, Karo, 9
29675, Kreuz, 2
29676, Kreuz, 3
29677, Herz, Dame
29678, Kreuz, Dame
29679, Karo, 8
29680, Karo, 4
29681, Pik, König
29682, Herz, 2
29683, Pik, 7
29684, Pik, 3
29685, Karo, Dame
29686, Pik, 10
29687, Pik, As
29688, Herz, 6
29689, Pik, Bube
29690, Kreuz, 9
29691, Herz, 3
29692, Herz, 3
29693, Pik, As
29694, Karo, Bube
29695, Kreuz, 5
29696, Kreuz, Dame
29697, Kreuz, 6
29698, Herz, 9
29699, Pik, König
29700, Herz, König
29701, Pik, 9
29702, Pik, 10
29703, Kreuz, 4
29704, Herz, 3
29705, Karo, König
29706, Karo, Bube
29707, Karo, 7
29708, Herz, 7
29709, Herz, König
29710, Kreuz, Bube
29711, Herz, 8
29712, Pik, 5
29713, Pik, 7
29714, Herz, 5
29715, Pik, As
29716, Karo, König
29717, Pik, 9
29718, Pik, Bube
29719, Karo, 9
29720, Karo, 3
29721, Herz, Bube
29722, Karo, König
29723, Pik, 3
29724, Herz, 4
29725, Kreuz, 8
29726, Pik, As
29727, Pik, 7
29728, Pik, 5
29729, Herz, Bube
29730, Herz, 7
29731, Karo, 7
29732, Kreuz, König
29733, Pik, As
29734, Kreuz, 10
29735, Karo, 10
29736, Karo, 9
29737, Kreuz, 3
29738, Pik, 10
29739, Herz, 10
29740, Pik, 7
29741, Karo, 5
29742, Karo, 5
29743, Herz, 2
29744, Kreuz, Dame
29745, Kreuz, 7
29746, Pik, König
29747, Karo, 5
29748, Pik, 9
29749, Karo, 4
29750, Karo, Dame
29751, Pik, 3
29752, Karo, Bube
29753, Kreuz, 7
29754, Herz, 5
29755, Herz, 8
29756, Kreuz, 7
29757, Karo, 5
29758, Kreuz, 10
29759, Herz, 5
29760, Herz, König
29761, Karo, 10
29762, Pik, 6
29763, Karo, 5
29764, Kreuz, 9
29765, Pik, 8
29766, Karo, 6
29767, Herz, Bube
29768, Kreuz, 9
29769, Karo, As
29770, Karo, 5
29771, Karo, 7
29772, Herz, 8
29773, Karo, 8
29774, Herz, 7
29775, Karo, Bube
29776, Kreuz, 8
29777, Herz, 8
29778, Kreuz, 8
29779, Pik, As
29780, Kreuz, 2
29781, Herz, 5
29782, Herz, 5
29783, Pik, 8
29784, Kreuz, 5
29785, Karo, 4
29786, Karo, 8
29787, Pik, 3
29788, Karo, As
29789, Pik, 3
29790, Herz, Bube
29791, Karo, König
29792, Kreuz, 3
29793, Kreuz, 2
29794, Karo, 3
29795, Karo, 7
29796, Karo, Dame
29797, Karo, 9
29798, Pik, As
29799, Pik, König
29800, Pik, 7
29801, Herz, Bube
29802, Herz, 7
29803, Karo, 7
29804, Karo, 5
29805, Herz, 4
29806, Herz, 4
29807, Kreuz, Dame
29808, Kreuz, 2
29809, Kreuz, Bube
29810, Kreuz, 8
29811, Karo, 8
29812, Kreuz, Dame
29813, Kreuz, 9
29814, Karo, 3
29815, Karo, 6
29816, Kreuz, 10
29817, Herz, 6
29818, Herz, 2
29819, Pik, 6
29820, Kreuz, 9
29821, Kreuz, 2
29822, Herz, 9
29823, Pik, 6
29824, Karo, 5
29825, Karo, 4
29826, Kreuz, 6
29827, Kreuz, 8
29828, Karo, 9
29829, Pik, 10
29830, Karo, 9
29831, Pik, 8
29832, Pik, 2
29833, Pik, Dame
29834, Kreuz, 2
29835, Pik, 8
29836, Kreuz, 9
29837, Kreuz, As
29838, Karo, 4
29839, Herz, 9
29840, Karo, 9
29841, Pik, 10
29842, Karo, 7
29843, Karo, 2
29844, Pik, 2
29845, Herz, 10
29846, Herz, 8
29847, Herz, 10
29848, Karo, 5
29849, Karo, As
29850, Karo, Bube
29851, Herz, 3
29852, Kreuz, 3
29853, Karo, 10
29854, Pik, 2
29855, Karo, As
29856, Pik, 10
29857, Herz, 8
29858, Pik, As
29859, Kreuz, Dame
29860, Karo, König
29861, Pik, As
29862, Pik, 5
29863, Pik, Bube
29864, Pik, 3
29865, Herz, König
29866, Karo, 5
29867, Pik, As
29868, Karo, König
29869, Kreuz, König
29870, Karo, 10
29871, Kreuz, 7
29872, Kreuz, König
29873, Karo, 7
29874, Herz, As
29875, Pik, As
29876, Kreuz, 9
29877, Kreuz, 9
29878, Pik, 10
29879, Pik, 6
29880, Karo, 7
29881, Pik, 7
29882, Karo, 8
29883, Pik, As
29884, Kreuz, 6
29885, Herz, 3
29886, Kreuz, Bube
29887, Herz, 7
29888, Pik, Bube
29889, Kreuz, 4
29890, Herz, 2
29891, Kreuz, 9
29892, Herz, 5
29893, Kreuz, Dame
29894, Herz, 8
29895, Kreuz, 3
29896, Herz, 5
29897, Herz, König
29898, Herz, 10
29899, Kreuz, Bube
29900, Herz, 4
29901, Pik, 8
29902, Pik, 8
29903, Karo, König
29904, Karo, 5
29905, Pik, 3
29906, Karo, 5
29907, Karo, Bube
29908, Karo, 6
29909, Pik, 9
29910, Pik, 4
29911, Karo, 3
29912, Pik, 3
29913, Karo, 2
29914, Kreuz, As
29915, Kreuz, 8
29916, Kreuz, 7
29917, Herz, 9
29918, Kreuz, As
29919, Pik, 5
29920, Herz, 2
29921, Kreuz, Bube
29922, Karo, 7
29923, Kreuz, As
29924, Herz, Bube
29925, Kreuz, Bube
29926, Pik, As
29927, Pik, As
29928, Herz, 4
29929, Kreuz, 7
29930, Pik, 2
29931, Pik, 3
29932, Herz, 8
29933, Pik, 3
29934, Pik, 9
29935, Herz, As
29936, Pik, König
29937, Karo, 10
29938, Pik, 4
29939, Pik, 3
29940, Pik, 4
29941, Kreuz, Dame
29942, Karo, As
29943, Pik, Bube
29944, Kreuz, As
29945, Herz, Dame
29946, Herz, 3
29947, Pik, As
29948, Kreuz, Dame
29949, Herz, Dame
29950, Pik, 3
29951, Kreuz, 5
29952, Pik, 10
29953, Herz, 10
29954, Karo, 5
29955, Karo, 8
29956, Kreuz, As
29957, Pik, Bube
29958, Herz, König
29959, Karo, 7
29960, Pik, 9
29961, Karo, Dame
29962, Karo, 4
29963, Herz, Bube
29964, Pik, 8
29965, Herz, 8
29966, Karo, Dame
29967, Karo, 3
29968, Pik, 2
29969, Pik, 3
29970, Kreuz, 2
29971, Karo, Bube
29972, Kreuz, 7
29973, Kreuz, 9
29974, Karo, 10
29975, Herz, 5
29976, Herz, 6
29977, Kreuz, As
29978, Kreuz, König
29979, Herz, 5
29980, Pik, 8
29981, Kreuz, 3
29982, Kreuz, Dame
29983, Karo, 8
29984, Karo, 3
29985, Kreuz, 7
29986, Karo, Dame
29987, Kreuz, Dame
29988, Pik, 8
29989, Karo, 4
29990, Kreuz, 6
29991, Herz, König
29992, Karo, Bube
29993, Karo, 4
29994, Karo, 10
29995, Herz, Dame
29996, Kreuz, 6
29997, Herz, Bube
29998, Herz, 8
29999, Herz, 10
30000, Pik, König
30001, Kreuz, 2
30002, Pik, 5
30003, Herz, 6
30004, Pik, 10
30005, Karo, 9
30006, Kreuz, 10
30007, Karo, 4
30008, Pik, 8
30009, Karo, König
30010, Kreuz, König
30011, Herz, 4
30012, Pik, 5
30013, Pik, Bube
30014, Herz, Dame
30015, Herz, As
30016, Kreuz, König
30017, Kreuz, 8
30018, Herz, 3
30019, Pik, 4
30020, Pik, König
30021, Kreuz, 7
30022, Herz, 4
30023, Pik, 10
30024, Pik, 5
30025, Karo, Dame
30026, Karo, As
30027, Kreuz, König
30028, Kreuz, 5
30029, Karo, 10
30030, Pik, 2
30031, Herz, Bube
30032, Karo, 4
30033, Kreuz, 2
30034, Kreuz, 3
30035, Herz, As
30036, Herz, 3
30037, Kreuz, 5
30038, Karo, 5
30039, Herz, 5
30040, Herz, König
30041, Kreuz, 4
30042, Kreuz, 2
30043, Pik, 7
30044, Pik, 10
30045, Kreuz, Bube
30046, Pik, 7
30047, Herz, Dame
30048, Herz, 3
30049, Kreuz, Bube
30050, Pik, 5
30051, Herz, 7
30052, Herz, Bube
30053, Pik, 4
30054, Kreuz, 3
30055, Karo, Dame
30056, Herz, 9
30057, Pik, As
30058, Karo, Bube
30059, Karo, König
30060, Pik, König
30061, Karo, Dame
30062, Pik, 10
30063, Karo, 7
30064, Kreuz, 2
30065, Karo, Dame
30066, Pik, 3
30067, Kreuz, 7
30068, Kreuz, Bube
30069, Kreuz, 5
30070, Pik, König
30071, Pik, 5
30072, Herz, 3
30073, Karo, 3
30074, Karo, 6
30075, Herz, König
30076, Kreuz, 5
30077, Pik, 5
30078, Herz, 10
30079, Pik, 8
30080, Karo, 2
30081, Karo, 7
30082, Pik, Bube
30083, Pik, 7
30084, Herz, 3
30085, Kreuz, Bube
30086, Pik, 4
30087, Kreuz, 6
30088, Karo, König
30089, Kreuz, 7
30090, Kreuz, As
30091, Karo, 2
30092, Kreuz, 9
30093, Karo, Bube
30094, Kreuz, 2
30095, Pik, 3
30096, Pik, 3
30097, Pik, 5
30098, Kreuz, 5
30099, Herz, 10
30100, Herz, 4
30101, Herz, 10
30102, Herz, 3
30103, Kreuz, 9
30104, Herz, 4
30105, Kreuz, 9
30106, Herz, 5
30107, Karo, Bube
30108, Kreuz, As
30109, Karo, 10
30110, Kreuz, 4
30111, Pik, 3
30112, Kreuz, 3
30113, Herz, 3
30114, Karo, 7
30115, Herz, Bube
30116, Herz, 7
30117, Kreuz, 2
30118, Pik, Bube
30119, Herz, 9
30120, Karo, 6
30121, Herz, 7
30122, Pik, 3
30123, Kreuz, 6
30124, Kreuz, 6
30125, Pik, König
30126, Kreuz, As
30127, Kreuz, 6
30128, Pik, König
30129, Kreuz, Bube
30130, Herz, Dame
30131, Kreuz, As
30132, Herz, 9
30133, Herz, 2
30134, Pik, As
30135, Pik, Bube
30136, Kreuz, Bube
30137, Kreuz, 5
30138, Kreuz, Bube
30139, Kreuz, 10
30140, Pik, Dame
30141, Pik, As
30142, Herz, 9
30143, Karo, 5
30144, Kreuz, 4
30145, Karo, 10
30146, Pik, Bube
30147, Herz, 4
30148, Herz, Bube
30149, Kreuz, König
30150, Pik, 8
30151, Karo, 3
30152, Pik, 5
30153, Pik, Bube
30154, Pik, 3
30155, Pik, 9
30156, Herz, 3
30157, Kreuz, 2
30158, Pik, As
30159, Kreuz, 6
30160, Karo, Bube
30161, Pik, 3
30162, Kreuz, As
30163, Karo, 3
30164, Herz, Dame
30165, Herz, 6
30166, Herz, As
30167, Pik, 5
30168, Herz, 2
30169, Karo, König
30170, Kreuz, 7
30171, Karo, Dame
30172, Karo, 6
30173, Pik, 6
30174, Kreuz, Bube
30175, Herz, Bube
30176, Karo, 8
30177, Herz, 5
30178, Kreuz, König
30179, Pik, Bube
30180, Herz, Dame
30181, Karo, König
30182, Karo, König
30183, Herz, König
30184, Pik, 6
30185, Pik, 3
30186, Kreuz, As
30187, Pik, 5
30188, Pik, 2
30189, Karo, 6
30190, Herz, 2
30191, Karo, König
30192, Kreuz, 4
30193, Herz, 3
30194, Karo, 7
30195, Pik, 6
30196, Pik, 5
30197, Kreuz, 10
30198, Kreuz, 8
30199, Pik, 5
30200, Kreuz, 6
30201, Kreuz, 3
30202, Herz, As
30203, Pik, 6
30204, Herz, König
30205, Pik, 3
30206, Pik, 7
30207, Kreuz, 10
30208, Herz, 2
30209, Pik, 9
30210, Kreuz, As
30211, Kreuz, 3
30212, Kreuz, 9
30213, Kreuz, 2
30214, Herz, 2
30215, Karo, König
30216, Herz, 8
30217, Herz, 3
30218, Kreuz, 5
30219, Herz, 7
30220, Pik, 6
30221, Kreuz, 10
30222, Pik, 4
30223, Herz, 10
30224, Herz, As
30225, Herz, 4
30226, Pik, 2
30227, Pik, König
30228, Pik, As
30229, Karo, König
30230, Pik, 10
30231, Herz, As
30232, Karo, König
30233, Kreuz, 5
30234, Pik, 10
30235, Pik, 3
30236, Pik, 7
30237, Pik, 2
30238, Pik, 4
30239, Herz, König
30240, Karo, 10
30241, Pik, 4
30242, Karo, As
30243, Karo, 4
30244, Pik, Bube
30245, Pik, 7
30246, Karo, 3
30247, Herz, 6
30248, Kreuz, 7
30249, Kreuz, 10
30250, Herz, König
30251, Herz, König
30252, Herz, 8
30253, Herz, 4
30254, Karo, 3
30255, Kreuz, 2
30256, Kreuz, 4
30257, Pik, Dame
30258, Herz, Bube
30259, Herz, 9
30260, Herz, 7
30261, Karo, 4
30262, Pik, 9
30263, Kreuz, 9
30264, Kreuz, As
30265, Kreuz, Bube
30266, Kreuz, 7
30267, Herz, 4
30268, Karo, 2
30269, Herz, 5
30270, Kreuz, König
30271, Pik, 5
30272, Herz, As
30273, Pik, 4
30274, Karo, 6
30275, Kreuz, 2
30276, Pik, 7
30277, Kreuz, 9
30278, Pik, 6
30279, Pik, As
30280, Pik, 10
30281, Kreuz, 8
30282, Herz, As
30283, Kreuz, 5
30284, Herz, König
30285, Herz, 6
30286, Pik, 3
30287, Herz, As
30288, Kreuz, 9
30289, Kreuz, König
30290, Kreuz, König
30291, Karo, Bube
30292, Karo, 2
30293, Karo, 10
30294, Kreuz, 9
30295, Pik, Bube
30296, Pik, 8
30297, Kreuz, Dame
30298, Karo, 3
30299, Kreuz, Dame
30300, Pik, Bube
30301, Kreuz, As
30302, Pik, 4
30303, Herz, 5
30304, Kreuz, As
30305, Herz, 3
30306, Karo, 10
30307, Pik, 4
30308, Herz, 5
30309, Kreuz, Bube
30310, Herz, 5
30311, Kreuz, 3
30312, Pik, 7
30313, Kreuz, 6
30314, Pik, König
30315, Herz, 7
30316, Pik, 3
30317, Karo, 6
30318, Pik, 5
30319, Karo, 4
30320, Karo, 7
30321, Pik, 5
30322, Karo, As
30323, Herz, 7
30324, Karo, 5
30325, Karo, 4
30326, Kreuz, 7
30327, Herz, 5
30328, Karo, 9
30329, Herz, 6
30330, Karo, 5
30331, Herz, Bube
30332, Karo, As
30333, Pik, Bube
30334, Pik, 10
30335, Pik, 10
30336, Herz, Dame
30337, Kreuz, 5
30338, Herz, 4
30339, Karo, 9
30340, Karo, 4
30341, Herz, König
30342, Herz, Bube
30343, Pik, König
30344, Kreuz, 5
30345, Kreuz, 2
30346, Karo, Dame
30347, Pik, 4
30348, Pik, 2
30349, Karo, Bube
30350, Herz, 8
30351, Herz, 4
30352, Karo, 2
30353, Herz, Bube
30354, Kreuz, 6
30355, Pik, 8
30356, Kreuz, 9
30357, Karo, As
30358, Karo, 4
30359, Kreuz, 2
30360, Kreuz, 3
30361, Pik, 4
30362, Pik, As
30363, Karo, As
30364, Kreuz, 7
30365, Herz, 8
30366, Kreuz, Dame
30367, Karo, 6
30368, Karo, 3
30369, Karo, Bube
30370, Kreuz, Bube
30371, Herz, 3
30372, Kreuz, As
30373, Karo, König
30374, Karo, 3
30375, Kreuz, 5
30376, Karo, Dame
30377, Kreuz, 9
30378, Pik, 6
30379, Karo, 3
30380, Pik, 5
30381, Karo, 4
30382, Kreuz, 2
30383, Karo, König
30384, Karo, Bube
30385, Karo, 6
30386, Herz, As
30387, Karo, 4
30388, Pik, Dame
30389, Pik, 4
30390, Pik, 10
30391, Kreuz, 4
30392, Pik, As
30393, Herz, 4
30394, Herz, 4
30395, Pik, Bube
30396, Pik, 9
30397, Kreuz, 2
30398, Kreuz, 6
30399, Herz, Dame
30400, Kreuz, 3
30401, Karo, 8
30402, Karo, 2
30403, Pik, 6
30404, Pik, 6
30405, Kreuz, 8
30406, Karo, Bube
30407, Pik, 5
30408, Kreuz, 2
30409, Kreuz, 7
30410, Pik, 4
30411, Pik, As
30412, Kreuz, Bube
30413, Herz, 3
30414, Karo, 5
30415, Herz, 3
30416, Herz, As
30417, Kreuz, 6
30418, Pik, Dame
30419, Kreuz, 8
30420, Herz, 4
30421, Karo, Bube
30422, Pik, 7
30423, Herz, 3
30424, Herz, 9
30425, Kreuz, 10
30426, Karo, Bube
30427, Pik, 9
30428, Kreuz, 9
30429, Pik, Bube
30430, Pik, 6
30431, Pik, As
30432, Kreuz, Bube
30433, Karo, Dame
30434, Herz, Bube
30435, Karo, 2
30436, Pik, Dame
30437, Herz, 4
30438, Pik, 9
30439, Pik, 7
30440, Pik, 9
30441, Pik, 9
30442, Herz, As
30443, Pik, 7
30444, Herz, 8
30445, Pik, 5
30446, Kreuz, König
30447, Kreuz, 5
30448, Herz, 6
30449, Kreuz, 9
30450, Karo, Dame
30451, Karo, 3
30452, Karo, 9
30453, Herz, 10
30454, Pik, 3
30455, Herz, 2
30456, Karo, As
30457, Pik, König
30458, Karo, 8
30459, Herz, 8
30460, Herz, 5
30461, Kreuz, 5
30462, Herz, 8
30463, Herz, 8
30464, Kreuz, König
30465, Karo, 4
30466, Kreuz, 10
30467, Herz, As
30468, Karo, 7
30469, Kreuz, 4
30470, Kreuz, Bube
30471, Kreuz, 5
30472, Pik, Bube
30473, Herz, Dame
30474, Karo, 7
30475, Karo, König
30476, Herz, 5
30477, Herz, 7
30478, Pik, 6
30479, Kreuz, 5
30480, Karo, 6
30481, Karo, 6
30482, Karo, 3
30483, Herz, As
30484, Karo, 10
30485, Karo, 3
30486, Kreuz, 6
30487, Karo, 9
30488, Herz, 3
30489, Pik, 4
30490, Kreuz, Dame
30491, Herz, 5
30492, Pik, König
30493, Kreuz, 3
30494, Pik, Dame
30495, Pik, As
30496, Karo, 8
30497, Karo, 8
30498, Karo, As
30499, Pik, 7
30500, Kreuz, 4
30501, Herz, Bube
30502, Herz, 8
30503, Kreuz, 4
30504, Herz, 10
30505, Karo, 10
30506, Kreuz, Bube
30507, Herz, Dame
30508, Herz, 5
30509, Karo, 5
30510, Herz, Dame
30511, Herz, König
30512, Karo, Dame
30513, Karo, As
30514, Karo, 7
30515, Herz, König
30516, Pik, König
30517, Kreuz, Dame
30518, Pik, 3
30519, Kreuz, 8
30520, Kreuz, 8
30521, Karo, 3
30522, Herz, 5
30523, Herz, 7
30524, Pik, 9
30525, Kreuz, 3
30526, Pik, 8
30527, Herz, 3
30528, Pik, Dame
30529, Pik, 9
30530, Pik, 3
30531, Karo, König
30532, Pik, König
30533, Herz, 9
30534, Herz, 7
30535, Pik, 3
30536, Herz, 8
30537, Pik, Bube
30538, Herz, 10
30539, Pik, Bube
30540, Pik, 9
30541, Herz, 8
30542, Herz, 3
30543, Kreuz, 7
30544, Pik, 8
30545, Karo, 7
30546, Herz, 10
30547, Pik, 7
30548, Pik, König
30549, Kreuz, Dame
30550, Kreuz, 10
30551, Karo, 8
30552, Pik, 5
30553, Herz, 8
30554, Kreuz, 2
30555, Karo, 10
30556, Karo, As
30557, Karo, 10
30558, Karo, 8
30559, Karo, 8
30560, Pik, 5
30561, Karo, 7
30562, Kreuz, 5
30563, Karo, 2
30564, Pik, Dame
30565, Karo, 6
30566, Pik, Dame
30567, Kreuz, König
30568, Pik, 10
30569, Pik, Dame
30570, Karo, 5
30571, Herz, Bube
30572, Pik, 4
30573, Pik, 3
30574, Pik, 7
30575, Pik, 8
30576, Kreuz, 2
30577, Kreuz, 3
30578, Kreuz, Dame
30579, Kreuz, 4
30580, Kreuz, 8
30581, Kreuz, Dame
30582, Herz, 3
30583, Herz, 7
30584, Herz, 5
30585, Kreuz, Bube
30586, Pik, As
30587, Karo, 8
30588, Pik, 4
30589, Pik, 9
30590, Herz, As
30591, Karo, 8
30592, Karo, 3
30593, Karo, 9
30594, Pik, 8
30595, Pik, Bube
30596, Pik, 3
30597, Karo, 9
30598, Herz, 6
30599, Kreuz, 6
30600, Pik, Bube
30601, Herz, 2
30602, Karo, Dame
30603, Karo, 2
30604, Kreuz, 3
30605, Pik, Bube
30606, Karo, König
30607, Pik, Dame
30608, Kreuz, 5
30609, Pik, 5
30610, Pik, 6
30611, Kreuz, Bube
30612, Karo, As
30613, Herz, 9
30614, Karo, As
30615, Karo, 8
30616, Karo, 5
30617, Herz, König
30618, Karo, As
30619, Pik, 2
30620, Kreuz, 3
30621, Kreuz, 9
30622, Herz, 4
30623, Karo, Bube
30624, Pik, 2
30625, Herz, 5
30626, Kreuz, 10
30627, Kreuz, 5
30628, Herz, Dame
30629, Herz, 4
30630, Herz, 10
30631, Karo, 8
30632, Kreuz, Dame
30633, Herz, 3
30634, Herz, 5
30635, Kreuz, Dame
30636, Karo, Bube
30637, Herz, 4
30638, Kreuz, 4
30639, Herz, 7
30640, Pik, 5
30641, Pik, 2
30642, Herz, As
30643, Herz, 3
30644, Herz, 2
30645, Pik, 10
30646, Karo, As
30647, Pik, 9
30648, Pik, 2
30649, Karo, Dame
30650, Kreuz, König
30651, Kreuz, Bube
30652, Pik, 6
30653, Herz, 5
30654, Karo, 2
30655, Herz, 8
30656, Herz, Bube
30657, Herz, 3
30658, Pik, 8
30659, Herz, Dame
30660, Karo, 5
30661, Herz, 3
30662, Herz, 6
30663, Pik, Bube
30664, Herz, Dame
30665, Karo, 4
30666, Karo, König
30667, Karo, Dame
30668, Kreuz, Dame
30669, Herz, 7
30670, Herz, 7
30671, Karo, Dame
30672, Herz, 7
30673, Kreuz, Bube
30674, Herz, 6
30675, Karo, Bube
30676, Herz, 4
30677, Herz, Bube
30678, Herz, 9
30679, Karo, Dame
30680, Pik, Bube
30681, Kreuz, 6
30682, Herz, 10
30683, Pik, Bube
30684, Kreuz, 8
30685, Kreuz, 3
30686, Pik, As
30687, Herz, König
30688, Herz, Dame
30689, Kreuz, 2
30690, Kreuz, 7
30691, Herz, As
30692, Kreuz, Dame
30693, Herz, 3
30694, Karo, 3
30695, Pik, As
30696, Pik, 4
30697, Pik, 7
30698, Kreuz, 2
30699, Pik, Dame
30700, Pik, 9
30701, Herz, Dame
30702, Herz, 5
30703, Herz, 5
30704, Karo, As
30705, Karo, 9
30706, Kreuz, Dame
30707, Herz, 10
30708, Kreuz, Bube
30709, Herz, 2
30710, Kreuz, Bube
30711, Pik, 10
30712, Kreuz, 9
30713, Karo, 8
30714, Herz, Dame
30715, Pik, Bube
