0, Kreuz, 3
14486, Herz, 6
14487, Karo, Bube
14488, Herz, 3
14489, Herz, Dame
14490, Karo, 6
14491, Karo, 4
14492, Karo, As
14493, Karo, Bube
14494, Herz, 5
14495, Pik, 5
14496, Kreuz, 8
14497, Karo, As
14498, Karo, As
14499, Kreuz, 5
14500, Pik, As
14501, Karo, 7
14502, Pik, 3
14503, Pik, As
14504, Karo, König
14505, Herz, 6
14506, Herz, Dame
14507, Karo, 4
14508, Herz, 6
14509, Kreuz, 3
14510, Kreuz, 4
14511, Pik, 8
14512, Karo, 8
14513, Karo, 4
14514, Herz, König
14515, Herz, 7
14516, Pik, 6
14517, Kreuz, 3
14518, Karo, 3
14519, Kreuz, 3
14520, Kreuz, 9
14521, Kreuz, 6
14522, Pik, König
14523, Karo, 4
14524, Kreuz, 2
14525, Karo, As
14526, Karo, König
14527, Karo, 7
14528, Karo, 5
14529, Kreuz, As
14530, Karo, 8
14531, Karo, 4
14532, Pik, Dame
14533, Pik, 8
14534, Pik, 8
14535, Karo, 8
14536, Karo, Bube
14537, Herz, 4
14538, Herz, 9
14539, Pik, 7
14540, Kreuz, 7
14541, Karo, 3
14542, Karo, 2
14543, Kreuz, 5
14544, Herz, 7
14545, Karo, 9
14546, Kreuz, 3
14547, Herz, 10
14548, Kreuz, 5
14549, Kreuz, As
14550, Herz, 3
14551, Kreuz, 10
14552, Karo, Dame
14553, Karo, As
14554, Karo, 4
14555, Herz, 3
14556, Kreuz, 9
14557, Karo, Bube
14558, Kreuz, 7
14559, Kreuz, 8
14560, Kreuz, Bube
14561, Karo, Bube
14562, Pik, 5
14563, Kreuz, As
14564, Herz, 3
14565, Kreuz, 9
14566, Kreuz, 6
14567, Kreuz, Bube
14568, Herz, 10
14569, Herz, Bube
14570, Herz, 10
14571, Pik, Bube
14572, Kreuz, 10
14573, Pik, 4
14574, Kreuz, 4
14575, Kreuz, 9
14576, Kreuz, 9
14577, Kreuz, 9
14578, Herz, 8
14579, Kreuz, 2
14580, Pik, As
14581, Karo, 2
14582, Pik, 6
14583, Pik, Dame
14584, Pik, 3
14585, Pik, As
14586, Herz, 6
14587, Pik, König
14588, Herz, As
14589, Kreuz, 5
14590, Pik, 5
14591, Karo, 3
14592, Kreuz, 2
14593, Herz, 2
14594, Karo, 7
14595, Pik, 4
14596, Kreuz, 6
14597, Karo, 6
14598, Pik, 4
14599, Karo, 5
14600, Kreuz, 8
14601, Karo, 4
14602, Karo, 4
14603, Karo, Bube
14604, Pik, 8
14605, Karo, 2
14606, Karo, 2
14607, Kreuz, 9
14608, Herz, 3
14609, Karo, König
14610, Herz, 7
14611, Kreuz, 3
14612, Herz, Dame
14613, Herz, As
14614, Kreuz, 9
14615, Pik, 3
14616, Herz, 5
14617, Karo, Dame
14618, Herz, 2
14619, Karo, 5
14620, Pik, Dame
14621, Kreuz, Dame
14622, Herz, 10
14623, Karo, Dame
14624, Herz, Dame
14625, Kreuz, 6
14626, Pik, 3
14627, Kreuz, Bube
14628, Kreuz, 2
14629, Kreuz, 2
14630, Karo, 2
14631, Pik, 8
14632, Karo, Dame
14633, Herz, 9
14634, Kreuz, 3
14635, Karo, Dame
14636, Pik, 10
14637, Kreuz, 4
14638, Karo, 9
14639, Pik, 3
14640, Herz, 6
14641, Kreuz, 3
14642, Pik, 8
14643, Kreuz, 8
14644, Herz, 10
14645, Karo, 7
14646, Herz, 5
14647, Herz, 2
14648, Herz, Dame
14649, Pik, 5
14650, Kreuz, 9
14651, Kreuz, 3
14652, Karo, 4
14653, Pik, 6
14654, Karo, 4
14655, Karo, 10
14656, Pik, 3
14657, Herz, 6
14658, Karo, 10
14659, Pik, Dame
14660, Kreuz, Bube
14661, Pik, 2
14662, Kreuz, Bube
14663, Karo, Bube
14664, Pik, 8
14665, Kreuz, 4
14666, Herz, 2
14667, Kreuz, 5
14668, Kreuz, As
14669, Kreuz, 8
14670, Kreuz, 7
14671, Pik, 7
14672, Herz, 6
14673, Herz, 6
14674, Pik, 2
14675, Herz, 7
14676, Karo, As
14677, Herz, 6
14678, Kreuz, 7
14679, Pik, Bube
14680, Herz, König
14681, Karo, Dame
14682, Herz, 3
14683, Herz, 4
14684, Herz, 6
14685, Herz, 7
14686, Karo, König
14687, Herz, 3
14688, Pik, As
14689, Kreuz, König
14690, Kreuz, 7
14691, Kreuz, As
14692, Karo, 2
14693, Herz, 10
14694, Kreuz, 7
14695, Karo, Bube
14696, Karo, 4
14697, Karo, As
14698, Herz, 3
14699, Kreuz, 3
14700, Herz, 3
14701, Pik, 8
14702, Herz, 7
14703, Herz, 10
14704, Karo, 3
14705, Herz, 4
14706, Kreuz, Bube
14707, Herz, 3
14708, Kreuz, As
14709, Karo, Dame
14710, Karo, 9
14711, Pik, König
14712, Pik, König
14713, Karo, 10
14714, Kreuz, 3
14715, Pik, 8
14716, Herz, 2
14717, Karo, 6
14718, Herz, 6
14719, Kreuz, 8
14720, Kreuz, Dame
14721, Karo, König
14722, Kreuz, 6
14723, Herz, 5
14724, Herz, Dame
14725, Herz, König
14726, Kreuz, 4
14727, Kreuz, Dame
14728, Herz, Dame
14729, Pik, 6
14730, Kreuz, 3
14731, Herz, 2
14732, Herz, 9
14733, Karo, 5
14734, Karo, Bube
14735, Kreuz, König
14736, Pik, 10
14737, Herz, 8
14738, Kreuz, 10
14739, Karo, 9
14740, Kreuz, 3
14741, Pik, Dame
14742, Karo, 10
14743, Herz, As
14744, Kreuz, 8
14745, Herz, 4
14746, Karo, 8
14747, Herz, König
14748, Herz, 4
14749, Kreuz, 7
14750, Karo, 4
14751, Kreuz, 2
14752, Kreuz, König
14753, Herz, 7
14754, Karo, 5
14755, Kreuz, 9
14756, Pik, König
14757, Kreuz, 7
14758, Herz, 7
14759, Kreuz, Bube
14760, Kreuz, 3
14761, Pik, 10
14762, Pik, Bube
14763, Herz, 7
14764, Kreuz, 8
14765, Pik, 6
14766, Kreuz, 10
14767, Herz, Dame
14768, Pik, Bube
14769, Herz, 7
14770, Karo, 10
14771, Kreuz, 8
14772, Pik, Dame
14773, Herz, 5
14774, Kreuz, 8
14775, Karo, 8
14776, Pik, 5
14777, Kreuz, Bube
14778, Pik, 3
14779, Pik, Dame
14780, Pik, 2
14781, Kreuz, 10
14782, Karo, Bube
14783, Pik, König
14784, Pik, 10
14785, Karo, 10
14786, Kreuz, 6
14787, Herz, 5
14788, Pik, 10
14789, Pik, 10
14790, Karo, 7
14791, Kreuz, 2
14792, Herz, 8
14793, Kreuz, 2
14794, Kreuz, 8
14795, Pik, As
14796, Kreuz, 9
14797, Kreuz, As
14798, Pik, As
14799, Karo, 7
14800, Karo, 5
14801, Herz, 6
14802, Kreuz, 6
14803, Kreuz, 6
14804, Herz, 2
14805, Karo, Bube
14806, Pik, 10
14807, Karo, Dame
14808, Herz, Bube
14809, Kreuz, 8
14810, Herz, 9
14811, Kreuz, 4
14812, Herz, 5
14813, Pik, 10
14814, Pik, Dame
14815, Pik, As
14816, Herz, Dame
14817, Herz, 4
14818, Kreuz, 5
14819, Karo, Dame
14820, Pik, 6
14821, Pik, Dame
14822, Kreuz, 2
14823, Herz, Bube
14824, Kreuz, 10
14825, Herz, 5
14826, Herz, 8
14827, Karo, 4
14828, Pik, 10
14829, Herz, 7
14830, Pik, 7
14831, Pik, 3
14832, Kreuz, Bube
14833, Karo, 9
14834, Herz, 6
14835, Karo, 6
14836, Herz, König
14837, Pik, Bube
14838, Kreuz, Dame
14839, Herz, 9
14840, Karo, König
14841, Herz, König
14842, Pik, 5
14843, Pik, 4
14844, Herz, 7
14845, Herz, 8
14846, Pik, 3
14847, Herz, 5
14848, Herz, 7
14849, Karo, 6
14850, Pik, 8
14851, Karo, 2
14852, Karo, 3
14853, Pik, As
14854, Kreuz, 7
14855, Kreuz, 4
14856, Karo, 9
14857, Karo, 10
14858, Pik, 10
14859, Herz, 7
14860, Pik, 3
14861, Karo, 4
14862, Pik, Bube
14863, Karo, 5
14864, Kreuz, 4
14865, Pik, 8
14866, Karo, König
14867, Kreuz, 8
14868, Karo, Dame
14869, Kreuz, 9
14870, Herz, 6
14871, Pik, 9
14872, Karo, 9
14873, Kreuz, 10
14874, Karo, 9
14875, Herz, As
14876, Pik, Dame
14877, Herz, 9
14878, Herz, 9
14879, Pik, Dame
14880, Herz, 8
14881, Herz, 8
14882, Herz, 3
14883, Pik, Dame
14884, Kreuz, 10
14885, Kreuz, 8
14886, Karo, König
14887, Herz, König
14888, Herz, 9
14889, Kreuz, Bube
14890, Herz, König
14891, Kreuz, Bube
14892, Herz, 2
14893, Karo, 8
14894, Karo, 9
14895, Kreuz, 6
14896, Kreuz, 2
14897, Pik, 4
14898, Karo, 5
14899, Pik, 3
14900, Kreuz, 4
14901, Pik, 2
14902, Kreuz, 7
14903, Kreuz, 7
14904, Herz, 5
14905, Pik, As
14906, Karo, 10
14907, Karo, 6
14908, Kreuz, 6
14909, Kreuz, 10
14910, Karo, 5
14911, Pik, 5
14912, Pik, 3
14913, Pik, 6
14914, Herz, 5
14915, Herz, König
14916, Herz, 2
14917, Kreuz, 5
14918, Pik, Bube
14919, Kreuz, 4
14920, Karo, König
14921, Herz, 4
14922, Pik, 4
14923, Herz, Dame
14924, Kreuz, As
14925, Karo, Dame
14926, Kreuz, Dame
14927, Pik, 4
14928, Herz, 7
14929, Kreuz, Bube
14930, Kreuz, 3
14931, Herz, Dame
14932, Kreuz, 9
14933, Kreuz, 5
14934, Herz, Bube
14935, Kreuz, 9
14936, Pik, 9
14937, Kreuz, 4
14938, Pik, Dame
14939, Karo, 3
14940, Herz, König
14941, Herz, 4
14942, Pik, Bube
14943, Herz, Bube
14944, Herz, König
14945, Herz, Bube
14946, Karo, Dame
14947, Pik, 7
14948, Pik, 10
14949, Herz, 6
14950, Herz, 10
14951, Kreuz, Dame
14952, Karo, 4
14953, Herz, König
14954, Herz, 4
14955, Karo, 4
14956, Pik, 6
14957, Kreuz, 5
14958, Kreuz, 3
14959, Pik, Bube
14960, Herz, 8
14961, Kreuz, 6
14962, Herz, 8
14963, Karo, As
14964, Pik, 8
14965, Pik, 5
14966, Herz, 8
14967, Karo, 3
14968, Karo, König
14969, Pik, 3
14970, Pik, As
14971, Kreuz, König
14972, Herz, 9
14973, Pik, 4
14974, Pik, As
14975, Karo, 3
14976, Karo, Dame
14977, Kreuz, As
14978, Kreuz, As
14979, Karo, Dame
14980, Kreuz, Dame
14981, Herz, 3
14982, Pik, As
14983, Herz, 4
14984, Karo, 3
14985, Kreuz, 4
14986, Herz, 4
14987, Pik, 7
14988, Herz, 8
14989, Kreuz, 6
14990, Pik, König
14991, Herz, 9
14992, Herz, 9
14993, Karo, 10
14994, Herz, 3
14995, Kreuz, 9
14996, Kreuz, 2
14997, Kreuz, 7
14998, Herz, 6
14999, Karo, As
15000, Kreuz, 10
15001, Kreuz, 7
15002, Pik, 7
15003, Herz, 2
15004, Herz, Dame
15005, Karo, Bube
15006, Karo, 4
15007, Herz, 9
15008, Herz, Bube
15009, Pik, Bube
15010, Pik, 9
15011, Pik, 3
15012, Pik, Dame
15013, Karo, 2
15014, Karo, 10
15015, Herz, 9
15016, Herz, 8
15017, Kreuz, 8
15018, Karo, 3
15019, Herz, 2
15020, Kreuz, As
15021, Karo, As
15022, Karo, 2
15023, Herz, 6
15024, Kreuz, 2
15025, Karo, 7
15026, Herz, 7
15027, Kreuz, 2
15028, Herz, 8
15029, Kreuz, 3
15030, Pik, Dame
15031, Pik, 2
15032, Kreuz, 9
15033, Kreuz, 6
15034, Karo, 4
15035, Kreuz, 5
15036, Kreuz, Dame
15037, Herz, 6
15038, Kreuz, König
15039, Pik, König
15040, Kreuz, Dame
15041, Karo, Bube
15042, Herz, 6
15043, Karo, 8
15044, Karo, 3
15045, Kreuz, 9
15046, Karo, 6
15047, Pik, 6
15048, Kreuz, Bube
15049, Kreuz, 4
15050, Karo, 10
15051, Karo, 3
15052, Karo, Dame
15053, Pik, Bube
15054, Herz, 8
15055, Karo, 9
15056, Karo, 4
15057, Kreuz, 6
15058, Herz, 8
15059, Karo, 10
15060, Karo, 10
15061, Karo, 3
15062, Pik, König
15063, Karo, 4
15064, Herz, 5
15065, Herz, König
15066, Kreuz, Bube
15067, Kreuz, Dame
15068, Herz, 9
15069, Herz, 4
15070, Kreuz, Bube
15071, Karo, As
15072, Herz, Bube
15073, Herz, 8
15074, Herz, 10
15075, Kreuz, 6
15076, Karo, 5
15077, Herz, 8
15078, Karo, 4
15079, Herz, 2
15080, Pik, König
15081, Herz, Dame
15082, Kreuz, 6
15083, Herz, 2
15084, Herz, 4
15085, Karo, 5
15086, Karo, As
15087, Herz, König
15088, Kreuz, 6
15089, Pik, Bube
15090, Pik, As
15091, Pik, Bube
15092, Herz, 2
15093, Pik, 9
15094, Kreuz, 3
15095, Karo, Dame
15096, Kreuz, 4
15097, Kreuz, 9
15098, Pik, As
15099, Herz, 5
15100, Kreuz, 7
15101, Kreuz, As
15102, Karo, 10
15103, Kreuz, 8
15104, Karo, 8
15105, Herz, 8
15106, Karo, 3
15107, Karo, As
15108, Pik, 2
15109, Herz, 3
15110, Kreuz, König
15111, Pik, 6
15112, Pik, 4
15113, Kreuz, Dame
15114, Karo, König
15115, Karo, 2
15116, Pik, 10
15117, Pik, 4
15118, Herz, 4
15119, Karo, 5
15120, Kreuz, 6
15121, Herz, 8
15122, Karo, As
15123, Pik, 10
15124, Karo, 6
15125, Karo, Dame
15126, Herz, 6
15127, Kreuz, 3
15128, Herz, 5
15129, Karo, 5
15130, Pik, Dame
15131, Herz, 3
15132, Kreuz, 9
15133, Kreuz, 6
15134, Karo, 4
15135, Kreuz, Bube
15136, Karo, 5
15137, Herz, 4
15138, Kreuz, Bube
15139, Kreuz, 8
15140, Pik, 6
15141, Karo, 3
15142, Pik, As
15143, Herz, 3
15144, Pik, 8
15145, Karo, 3
15146, Karo, 3
15147, Pik, Bube
15148, Karo, 3
15149, Pik, König
15150, Kreuz, 9
15151, Herz, 8
15152, Herz, 8
15153, Karo, 3
15154, Kreuz, 7
15155, Kreuz, Bube
15156, Karo, 9
15157, Karo, As
15158, Kreuz, 7
15159, Karo, 8
15160, Karo, König
15161, Pik, Dame
15162, Karo, 3
15163, Karo, 4
15164, Kreuz, 9
15165, Herz, 7
15166, Pik, 8
15167, Pik, 2
15168, Karo, 6
15169, Pik, Bube
15170, Kreuz, 7
15171, Herz, As
15172, Karo, Bube
15173, Pik, 6
15174, Pik, 5
15175, Pik, 4
15176, Karo, 7
15177, Kreuz, As
15178, Pik, 3
15179, Pik, 7
15180, Karo, 2
15181, Kreuz, Dame
15182, Pik, 4
15183, Herz, 3
15184, Kreuz, König
15185, Pik, 10
15186, Herz, 4
15187, Herz, 6
15188, Pik, 3
15189, Kreuz, As
15190, Karo, Dame
15191, Herz, 4
15192, Karo, As
15193, Herz, König
15194, Karo, 7
15195, Pik, 2
15196, Kreuz, Dame
15197, Kreuz, 2
15198, Karo, 2
15199, Pik, As
15200, Kreuz, Bube
15201, Herz, 10
15202, Kreuz, 6
15203, Karo, 7
15204, Pik, 6
15205, Kreuz, 2
15206, Karo, Bube
15207, Herz, Dame
15208, Herz, Bube
15209, Pik, Dame
15210, Kreuz, 2
15211, Karo, 9
15212, Herz, Dame
15213, Pik, 3
15214, Kreuz, 6
15215, Karo, 7
15216, Kreuz, 2
15217, Karo, 2
15218, Pik, 6
15219, Kreuz, 8
15220, Pik, 10
15221, Kreuz, 4
15222, Karo, 3
15223, Herz, 2
15224, Pik, König
15225, Herz, 6
15226, Pik, König
15227, Kreuz, König
15228, Herz, König
15229, Pik, 5
15230, Pik, Bube
15231, Karo, 2
15232, Karo, König
15233, Kreuz, Dame
15234, Kreuz, As
15235, Karo, 3
15236, Kreuz, 10
15237, Pik, 7
15238, Karo, 3
15239, Karo, 3
15240, Kreuz, 7
15241, Kreuz, 2
15242, Kreuz, As
15243, Kreuz, As
15244, Pik, 2
15245, Kreuz, 4
15246, Kreuz, 9
15247, Herz, As
15248, Karo, 8
15249, Karo, 3
15250, Herz, 9
15251, Pik, 9
15252, Herz, 3
15253, Pik, Bube
15254, Karo, Bube
15255, Pik, Bube
15256, Herz, Bube
15257, Herz, 9
15258, Pik, 7
15259, Herz, 10
15260, Karo, 6
15261, Kreuz, 6
15262, Pik, 10
15263, Herz, 2
15264, Karo, 3
15265, Kreuz, 2
15266, Karo, 4
15267, Karo, 9
15268, Herz, 9
15269, Karo, 3
15270, Herz, Bube
15271, Karo, 10
15272, Karo, 9
15273, Pik, As
15274, Kreuz, 10
15275, Pik, König
15276, Kreuz, Dame
15277, Karo, Dame
15278, Pik, 7
15279, Karo, Bube
15280, Pik, Dame
15281, Karo, As
15282, Herz, Bube
15283, Pik, 6
15284, Kreuz, 10
15285, Herz, 3
15286, Kreuz, 9
15287, Kreuz, 4
15288, Kreuz, 7
15289, Karo, 4
15290, Pik, Dame
15291, Karo, 4
15292, Pik, Dame
15293, Karo, As
15294, Herz, 7
15295, Kreuz, Bube
15296, Karo, 7
15297, Karo, 2
15298, Pik, 5
15299, Pik, 7
15300, Karo, 7
15301, Kreuz, 4
15302, Karo, 7
15303, Pik, Bube
15304, Kreuz, 7
15305, Pik, 6
15306, Karo, As
15307, Kreuz, 5
15308, Pik, 10
15309, Kreuz, 6
15310, Kreuz, 4
15311, Pik, 6
15312, Pik, 3
15313, Karo, 9
15314, Herz, 4
15315, Herz, As
15316, Karo, 5
15317, Herz, 9
15318, Pik, 8
15319, Herz, 3
15320, Pik, 9
15321, Herz, 5
15322, Herz, 8
15323, Kreuz, Bube
15324, Kreuz, 2
15325, Kreuz, 4
15326, Herz, 4
15327, Kreuz, 8
15328, Pik, 6
15329, Herz, Dame
15330, Kreuz, 2
15331, Pik, 3
15332, Karo, 3
15333, Pik, 7
15334, Pik, Dame
15335, Karo, 10
15336, Karo, 8
15337, Kreuz, Dame
15338, Herz, Dame
15339, Kreuz, 8
15340, Pik, Dame
15341, Karo, 3
15342, Pik, As
15343, Pik, As
15344, Herz, 4
15345, Herz, 3
15346, Kreuz, Dame
15347, Kreuz, 10
15348, Karo, 7
15349, Kreuz, 7
15350, Pik, 7
15351, Kreuz, 2
15352, Karo, Dame
15353, Herz, 3
15354, Herz, 10
15355, Herz, As
15356, Kreuz, 5
15357, Herz, 9
15358, Kreuz, 4
15359, Pik, 2
15360, Pik, Bube
15361, Kreuz, 3
15362, Kreuz, 4
15363, Herz, 3
15364, Pik, 2
15365, Pik, 9
15366, Pik, Dame
15367, Herz, Bube
15368, Karo, König
15369, Kreuz, As
15370, Kreuz, 8
15371, Herz, 9
15372, Pik, König
15373, Herz, 7
15374, Pik, Dame
15375, Kreuz, Bube
15376, Pik, 10
15377, Karo, 4
15378, Herz, 4
15379, Karo, 7
15380, Pik, König
15381, Herz, 5
15382, Herz, Dame
15383, Herz, 4
15384, Karo, 8
15385, Herz, 2
15386, Pik, Dame
15387, Herz, 10
15388, Herz, 9
15389, Karo, 10
15390, Pik, 8
15391, Pik, 7
15392, Herz, Dame
15393, Kreuz, 5
15394, Karo, 10
15395, Herz, 4
15396, Karo, 4
15397, Herz, 6
15398, Herz, 8
15399, Karo, Bube
15400, Pik, 4
15401, Pik, As
15402, Pik, As
15403, Herz, Bube
15404, Pik, Bube
15405, Herz, 3
15406, Kreuz, 9
15407, Pik, As
15408, Herz, 9
15409, Karo, 6
15410, Kreuz, As
15411, Pik, 2
15412, Pik, 2
15413, Pik, 3
15414, Kreuz, 4
15415, Pik, 2
15416, Herz, 8
15417, Herz, As
15418, Karo, 10
15419, Pik, 8
15420, Karo, As
15421, Kreuz, 8
15422, Herz, 8
15423, Pik, 3
15424, Pik, 3
15425, Herz, 3
15426, Kreuz, 2
15427, Herz, 2
15428, Kreuz, 6
15429, Pik, 10
15430, Pik, Bube
15431, Kreuz, 8
15432, Herz, 6
15433, Pik, 6
15434, Pik, 6
15435, Pik, 7
15436, Karo, 10
15437, Karo, 4
15438, Karo, 9
15439, Herz, 9
15440, Karo, 5
15441, Karo, Dame
15442, Herz, 5
15443, Karo, 3
15444, Herz, 3
15445, Herz, 5
15446, Herz, 7
15447, Kreuz, 3
15448, Kreuz, 3
15449, Herz, 6
15450, Pik, 8
15451, Pik, Dame
15452, Herz, 8
15453, Pik, 7
15454, Kreuz, 4
15455, Karo, 6
15456, Karo, Dame
15457, Kreuz, 4
15458, Karo, Dame
15459, Herz, 4
15460, Kreuz, 9
15461, Pik, Dame
15462, Kreuz, As
15463, Kreuz, 2
15464, Herz, König
15465, Herz, 8
15466, Karo, 2
15467, Karo, 9
15468, Kreuz, 9
15469, Kreuz, 4
15470, Kreuz, Bube
15471, Herz, 10
15472, Karo, 3
15473, Herz, König
15474, Kreuz, 2
15475, Karo, Bube
15476, Karo, As
15477, Kreuz, Dame
15478, Herz, Bube
15479, Pik, 6
15480, Kreuz, 10
15481, Herz, 8
15482, Kreuz, As
15483, Pik, 7
15484, Herz, König
15485, Kreuz, 6
15486, Kreuz, 10
15487, Kreuz, 4
15488, Kreuz, König
15489, Kreuz, Dame
15490, Herz, Bube
15491, Pik, As
15492, Kreuz, 7
15493, Kreuz, As
15494, Kreuz, 2
15495, Karo, 10
15496, Kreuz, 6
15497, Karo, 6
15498, Kreuz, As
15499, Karo, 10
15500, Karo, Dame
15501, Pik, 2
15502, Pik, 10
15503, Kreuz, König
15504, Kreuz, König
15505, Pik, König
15506, Pik, Dame
15507, Herz, 3
15508, Karo, 3
15509, Pik, Dame
15510, Herz, As
15511, Kreuz, Dame
15512, Kreuz, Dame
15513, Herz, 2
15514, Kreuz, 7
15515, Kreuz, 10
15516, Kreuz, 4
15517, Karo, Dame
15518, Pik, 8
15519, Kreuz, 3
15520, Karo, 4
15521, Kreuz, König
15522, Kreuz, 5
15523, Kreuz, König
15524, Kreuz, 5
15525, Pik, 7
15526, Pik, Bube
15527, Herz, König
15528, Karo, As
15529, Pik, 6
15530, Pik, 8
15531, Karo, As
15532, Herz, Bube
15533, Kreuz, 9
15534, Herz, 9
15535, Pik, 6
15536, Kreuz, Bube
15537, Herz, Dame
15538, Kreuz, As
15539, Herz, 9
15540, Kreuz, 9
15541, Pik, 9
15542, Kreuz, Dame
15543, Karo, Dame
15544, Karo, Bube
15545, Pik, 8
15546, Pik, 5
15547, Pik, 7
15548, Karo, Dame
15549, Pik, 4
15550, Pik, 7
15551, Karo, 4
15552, Herz, 6
15553, Kreuz, König
15554, Pik, 9
15555, Herz, 8
15556, Kreuz, 6
15557, Kreuz, 6
15558, Pik, 3
15559, Herz, 4
15560, Herz, Bube
15561, Herz, 6
15562, Herz, Bube
15563, Karo, Bube
15564, Karo, 4
15565, Kreuz, 7
15566, Kreuz, 10
15567, Pik, 2
15568, Kreuz, König
15569, Pik, 7
15570, Karo, 2
15571, Karo, As
15572, Kreuz, Dame
15573, Herz, 6
15574, Karo, 6
15575, Karo, 6
15576, Pik, 10
15577, Pik, 4
15578, Karo, 2
15579, Pik, 3
15580, Pik, 9
15581, Pik, König
15582, Kreuz, 5
15583, Pik, 2
15584, Kreuz, 8
15585, Pik, 7
15586, Kreuz, 9
15587, Karo, König
15588, Herz, 10
15589, Herz, As
15590, Herz, 3
15591, Herz, As
15592, Pik, 7
15593, Kreuz, 7
15594, Karo, As
15595, Karo, 4
15596, Kreuz, 7
15597, Kreuz, 3
15598, Pik, Dame
15599, Karo, 3
15600, Pik, As
15601, Kreuz, König
15602, Kreuz, Bube
15603, Herz, 10
15604, Herz, Dame
15605, Herz, Bube
15606, Herz, 3
15607, Pik, 6
15608, Karo, Bube
15609, Pik, Dame
15610, Pik, 3
15611, Herz, 2
15612, Kreuz, 10
15613, Pik, As
15614, Pik, 4
15615, Karo, 10
15616, Karo, 9
15617, Herz, 6
15618, Kreuz, 5
15619, Pik, Dame
15620, Kreuz, 7
15621, Kreuz, As
15622, Pik, König
15623, Herz, König
15624, Kreuz, 4
15625, Herz, 9
15626, Pik, 2
15627, Herz, König
15628, Karo, 4
15629, Kreuz, König
15630, Herz, As
15631, Karo, 5
15632, Kreuz, 3
15633, Herz, 5
15634, Kreuz, 10
15635, Pik, Bube
15636, Pik, 6
15637, Herz, 5
15638, Kreuz, 5
15639, Pik, 10
15640, Karo, 6
15641, Kreuz, 8
15642, Kreuz, 7
15643, Pik, 10
15644, Pik, 10
15645, Karo, 3
15646, Kreuz, 2
15647, Herz, 6
15648, Herz, 10
15649, Herz, König
15650, Pik, 6
15651, Pik, 6
15652, Karo, 6
15653, Pik, 4
15654, Karo, 10
15655, Pik, As
15656, Pik, 4
15657, Karo, Dame
15658, Pik, Bube
15659, Kreuz, 10
15660, Karo, 4
15661, Herz, Bube
15662, Pik, Bube
15663, Herz, As
15664, Karo, 6
15665, Herz, 7
15666, Kreuz, 9
15667, Kreuz, Dame
15668, Karo, 5
15669, Pik, 5
15670, Karo, 9
15671, Karo, 6
15672, Karo, As
15673, Herz, Bube
15674, Kreuz, 6
15675, Kreuz, König
15676, Pik, 4
15677, Karo, 9
15678, Kreuz, 3
15679, Karo, 3
15680, Karo, 8
15681, Pik, 5
15682, Kreuz, As
15683, Karo, 4
15684, Herz, Bube
15685, Karo, 9
15686, Herz, 10
15687, Herz, 5
15688, Pik, 9
15689, Karo, 8
15690, Herz, 4
15691, Karo, 6
15692, Kreuz, 7
15693, Pik, 9
15694, Karo, 6
15695, Pik, Bube
15696, Kreuz, Bube
15697, Pik, 4
15698, Karo, 2
15699, Kreuz, 5
15700, Herz, 8
15701, Pik, Dame
15702, Herz, 8
15703, Kreuz, 7
15704, Kreuz, 3
15705, Herz, 4
15706, Kreuz, 6
15707, Pik, 9
15708, Pik, 10
15709, Kreuz, König
15710, Karo, As
15711, Karo, 8
15712, Pik, 8
15713, Herz, 9
15714, Kreuz, As
15715, Kreuz, Dame
15716, Karo, 5
15717, Kreuz, 8
15718, Pik, 7
15719, Herz, 6
15720, Karo, 10
15721, Karo, 3
15722, Karo, 5
15723, Pik, Bube
15724, Pik, 7
15725, Karo, Bube
15726, Kreuz, 6
15727, Pik, Dame
15728, Herz, Dame
15729, Kreuz, Dame
15730, Karo, As
15731, Herz, 10
15732, Karo, 4
15733, Kreuz, As
15734, Kreuz, Dame
15735, Herz, 9
15736, Herz, 4
15737, Pik, 3
15738, Herz, König
15739, Herz, 4
15740, Kreuz, 4
15741, Herz, As
15742, Kreuz, Bube
15743, Herz, 3
15744, Herz, König
15745, Herz, 9
15746, Pik, 2
15747, Kreuz, 2
15748, Karo, 9
15749, Herz, 10
15750, Pik, 6
15751, Karo, Bube
15752, Herz, 7
15753, Herz, 10
15754, Kreuz, 5
15755, Pik, 8
15756, Karo, As
15757, Pik, König
15758, Herz, 6
15759, Kreuz, Dame
15760, Kreuz, 8
15761, Herz, 8
15762, Herz, 6
15763, Kreuz, 7
15764, Karo, 3
15765, Pik, 9
15766, Karo, Bube
15767, Pik, 9
15768, Herz, 3
15769, Herz, Bube
15770, Herz, 2
15771, Kreuz, 4
15772, Herz, König
15773, Herz, 8
15774, Herz, 9
15775, Herz, König
15776, Herz, 2
15777, Pik, 4
15778, Pik, 10
15779, Pik, As
15780, Herz, 7
15781, Kreuz, 9
15782, Karo, 3
15783, Kreuz, Bube
15784, Pik, 4
15785, Herz, 7
15786, Karo, 8
15787, Pik, 5
15788, Herz, Bube
15789, Herz, Bube
15790, Pik, 3
15791, Kreuz, 3
15792, Kreuz, 2
15793, Herz, 6
15794, Herz, 3
15795, Karo, 3
15796, Pik, 6
15797, Pik, König
15798, Herz, 7
15799, Pik, 8
15800, Herz, 5
15801, Kreuz, 10
15802, Pik, Bube
15803, Karo, Dame
15804, Kreuz, 4
15805, Karo, 10
15806, Kreuz, 5
15807, Herz, Dame
15808, Kreuz, 3
